web-scraper-order,web-scraper-start-url,player,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571430269-6899","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Kelly","1964-65","TOR","D","70","18","28","46","6","8","0.66","6","16","1","1","1","0","182","9.9","","--","--"
"1571430269-12908","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Cherry","1956-57","BOS","D","6","0","0","0","","4","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-9870","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Poile","1957-58","DET","C","63","7","9","16","","12","0.25","3","7","0","0","1","0","","--","","--","--"
"1571430269-10024","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Mosdell","1946-47","MTL","C","54","5","10","15","","50","0.28","0","0","0","0","2","0","","--","","--","--"
"1571430269-10882","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Barilko","1948-49","TOR","D","60","5","4","9","","95","0.15","0","0","2","2","0","0","","--","","--","--"
"1571430269-13537","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Doug Barkley","1959-60","CHI","D","3","0","0","0","1","2","--","0","0","0","0","0","0","1","0.0","","--","--"
"1571430269-7063","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gus Bodnar","1944-45","TOR","C","49","8","36","44","","18","0.90","0","6","1","2","0","0","","--","","--","--"
"1571430269-12960","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Gamble","1966-67","TOR","L","1","0","0","0","0","0","--","0","0","0","0","0","0","1","0.0","","--","--"
"1571430269-10044","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Ronty","1954-55","NYR, MTL","C","59","4","11","15","","10","0.25","3","5","0","0","1","0","","--","","--","--"
"1571430269-13146","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Al Buchanan","1949-50","TOR","L","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-12523","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Moe White","1945-46","MTL","L","4","0","1","1","","2","0.25","0","0","0","0","0","0","","--","","--","--"
"1571430269-13252","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim Watson","1963-64","DET","D","1","0","0","0","0","0","--","0","0","0","0","0","0","0","0.0","","--","--"
"1571430269-5939","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Stan Mikita","1968-69","CHI","C","74","30","67","97","14","52","1.31","7","30","3","3","2","0","299","10.0","","--","--"
"1571430269-11267","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ray Gariepy","1953-54","BOS","D","35","1","6","7","","39","0.20","0","0","0","0","0","0","","--","","--","--"
"1571430269-11035","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Taylor","1967-68","MNS","L","31","3","5","8","-7","37","0.26","1","1","0","0","0","0","67","4.5","","--","--"
"1571430269-10068","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Reg Hamilton","1944-45","TOR","D","50","3","12","15","","41","0.30","0","1","0","0","0","0","","--","","--","--"
"1571430269-6151","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Art Jackson","1943-44","BOS","C","49","28","41","69","","8","1.41","1","3","1","2","2","0","","--","","--","--"
"1571430269-6167","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Murray Oliver","1963-64","BOS","C","70","24","44","68","-6","41","0.97","5","16","0","0","2","0","251","9.6","","--","--"
"1571430269-8866","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Chico Maki","1967-68","CHI","R","60","8","16","24","-8","4","0.40","0","0","0","1","1","0","102","7.8","","--","--"
"1571430269-12750","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Harris","1963-64","MTL","D","4","0","1","1","3","0","0.25","0","0","0","0","0","0","3","0.0","","--","--"
"1571430269-9311","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Morrison","1950-51","CHI","C","59","8","12","20","","6","0.34","1","2","0","0","1","0","","--","","--","--"
"1571430269-10046","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Murray Henderson","1945-46","BOS","D","48","4","11","15","","30","0.31","0","0","0","0","0","0","","--","","--","--"
"1571430269-9362","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Barclay Plager","1967-68","STL","D","49","5","15","20","3","153","0.41","2","7","0","0","1","0","72","6.9","","--","--"
"1571430269-11298","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gerry Odrowski","1968-69","OAK","D","74","5","1","6","4","24","0.08","0","0","3","3","0","0","54","9.3","","--","--"
"1571430269-13720","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Walt McKechnie","1967-68","MNS","C","4","0","0","0","-3","0","--","0","0","0","0","0","0","9","0.0","","--","--"
"1571430269-7558","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Klukay","1953-54","BOS","L","70","20","17","37","","27","0.53","2","4","1","1","6","0","","--","","--","--"
"1571430269-11510","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bruce Cline","1956-57","NYR","R","30","2","3","5","","10","0.17","0","0","0","0","1","0","","--","","--","--"
"1571430269-7051","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Harris","1957-58","TOR","C","68","16","28","44","","32","0.65","5","9","0","0","4","0","","--","","--","--"
"1571430269-12540","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Andre Pronovost","1964-65","DET","L","3","0","1","1","1","0","0.33","0","0","0","0","0","0","0","0.0","","--","--"
"1571430269-9521","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Allan Stanley","1962-63","TOR","D","61","4","15","19","2","22","0.31","0","1","1","2","1","0","61","6.6","","--","--"
"1571430269-6423","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John McKenzie","1968-69","BOS","R","60","29","27","56","12","99","0.93","8","18","1","1","7","0","123","23.6","","--","--"
"1571430269-10100","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Baun","1960-61","TOR","D","70","1","14","15","19","70","0.21","0","2","0","0","0","0","84","1.2","","--","--"
"1571430269-13014","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Stu McNeill","1959-60","DET","C","5","0","0","0","0","0","--","0","0","0","0","0","0","2","0.0","","--","--"
"1571430269-7417","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gary Jarrett","1967-68","DET","L","68","18","21","39","2","20","0.57","1","6","0","0","2","0","207","8.7","","--","--"
"1571430269-10550","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Sid Finney","1951-52","CHI","C","35","6","5","11","","0","0.31","1","2","0","0","1","0","","--","","--","--"
"1571430269-6533","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Hampson","1967-68","DET, OAK","C","71","17","37","54","-3","14","0.76","2","12","0","0","3","0","148","11.5","","--","--"
"1571430269-6361","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Toe Blake","1943-44","MTL","L","41","26","33","59","","10","1.44","1","5","1","1","3","0","","--","","--","--"
"1571430269-7107","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pat Egan","1943-44","DET, BOS","D","48","15","28","43","","95","0.90","1","1","0","0","1","0","","--","","--","--"
