web-scraper-order,web-scraper-start-url,player,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571430269-11644","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Fred Stanfield","1965-66","CHI","L","39","2","2","4","-2","0","0.10","1","1","0","0","0","0","46","4.3","","--","--"
"1571430269-10074","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ray Timgren","1948-49","TOR","L","36","3","12","15","","9","0.42","0","2","0","0","0","0","","--","","--","--"
"1571430269-7590","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Mosienko","1952-53","CHI","R","65","17","20","37","","20","0.57","0","4","0","0","2","0","","--","","--","--"
"1571430269-11774","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Hillman","1963-64","TOR","D","33","0","4","4","2","31","0.12","0","1","0","0","0","0","28","0.0","","--","--"
"1571430269-10180","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Warren Godfrey","1959-60","DET","D","69","5","9","14","4","60","0.20","2","3","0","0","1","0","94","5.3","","--","--"
"1571430269-9772","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Vic Stasiuk","1962-63","DET","L","36","6","11","17","1","37","0.47","2","6","0","0","0","0","76","7.9","","--","--"
"1571430269-10862","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Frank Ashworth","1946-47","CHI","C","18","5","4","9","","2","0.50","0","0","0","0","0","0","","--","","--","--"
"1571430269-13214","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Norm Larson","1946-47","NYR","R","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-12117","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dallas Smith","1959-60","BOS","D","5","1","1","2","3","0","0.40","0","0","0","0","0","0","1","100.0","","--","--"
"1571430269-11692","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Wayne Maxner","1965-66","BOS","L","8","1","3","4","-1","6","0.50","0","0","0","0","0","0","11","9.1","","--","--"
"1571430269-9377","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Thomson","1948-49","TOR","D","60","4","16","20","","56","0.33","1","9","0","1","1","0","","--","","--","--"
"1571430269-7584","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Duff","1955-56","TOR","L","69","18","19","37","","74","0.54","7","10","0","0","3","0","","--","","--","--"
"1571430269-9414","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Fern Flaman","1959-60","BOS","D","60","2","18","20","-4","112","0.33","1","1","0","0","1","0","47","4.3","","--","--"
"1571430269-8018","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Adam Brown","1945-46","DET","L","49","20","12","32","","27","0.65","4","5","0","0","3","0","","--","","--","--"
"1571430269-6522","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Carveth","1943-44","DET","R","46","21","33","54","","6","1.17","0","0","0","0","1","0","","--","","--","--"
"1571430269-11185","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Danny Grant","1967-68","MTL","L","22","3","4","7","3","10","0.32","0","0","0","0","0","0","16","18.8","","--","--"
"1571430269-9043","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bruce MacGregor","1962-63","DET","C","68","11","11","22","-9","12","0.32","2","3","1","1","3","0","120","9.2","","--","--"
"1571430269-13531","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mike Labadie","1952-53","NYR","R","3","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-8308","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack McIntyre","1954-55","CHI","L","65","16","13","29","","40","0.45","5","7","0","0","1","0","","--","","--","--"
"1571430269-7045","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim Johnson","1968-69","PHI","C","69","17","27","44","-6","20","0.64","1","3","1","1","5","0","146","11.6","","--","--"
"1571430269-13680","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Al MacNeil","1957-58","TOR","D","13","0","0","0","","9","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-8741","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Rod Gilbert","1965-66","NYR","R","34","10","15","25","-11","20","0.74","3","9","0","0","2","0","127","7.9","","--","--"
"1571430269-7606","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Andy Hebenton","1962-63","NYR","R","70","15","22","37","-23","8","0.53","6","12","0","1","1","0","159","9.4","","--","--"
"1571430269-9903","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Duane Rupp","1968-69","MNS, PIT","D","59","5","11","16","-19","32","0.27","1","7","0","0","0","0","105","4.8","","--","--"
"1571430269-6856","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mike McMahon, Jr.","1967-68","MNS","D","74","14","33","47","-14","71","0.64","4","22","0","0","1","0","151","9.3","","--","--"
"1571430269-11331","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Meissner","1961-62","BOS","R","66","3","3","6","-42","13","0.09","0","0","0","0","0","0","105","2.9","","--","--"
"1571430269-9007","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dollard St. Laurent","1957-58","MTL","D","64","3","20","23","","72","0.36","0","0","0","0","1","0","","--","","--","--"
"1571430269-6972","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Danny Lewicki","1955-56","NYR","L","70","18","27","45","","26","0.64","2","11","0","0","2","0","","--","","--","--"
"1571430269-11929","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","J.P. Leblanc","1968-69","CHI","C","6","1","2","3","1","0","0.50","0","0","0","0","0","0","9","11.1","","--","--"
"1571430269-7314","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Gee","1946-47","CHI","C","60","20","20","40","","26","0.67","6","9","0","0","2","0","","--","","--","--"
"1571430269-7146","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ralph Backstrom","1965-66","MTL","C","67","22","20","42","26","12","0.63","1","2","0","0","3","0","196","11.2","","--","--"
"1571430269-8819","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Bartlett","1960-61","BOS","L","63","15","9","24","-19","95","0.38","1","1","0","0","0","0","133","11.3","","--","--"
"1571430269-6464","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jean-Guy Gendron","1968-69","PHI","L","74","20","35","55","-10","65","0.74","5","20","1","1","3","0","198","10.1","","--","--"
"1571430269-6445","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dutch Reibel","1955-56","DET","C","68","17","39","56","","10","0.82","2","22","0","0","3","0","","--","","--","--"
"1571430269-7997","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Buddy O'Connor","1949-50","NYR","C","66","11","22","33","","4","0.50","3","6","0","0","3","0","","--","","--","--"
"1571430269-12464","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Cunningham","1960-61","NYR","C","3","0","1","1","2","0","0.33","0","0","0","0","0","0","3","0.0","","--","--"
"1571430269-11395","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Conacher","1945-46","DET","C","20","1","5","6","","6","0.30","0","0","0","0","0","0","","--","","--","--"
"1571430269-11050","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jean-Guy Talbot","1966-67","MTL","D","68","3","5","8","-4","51","0.12","0","0","2","2","1","0","28","10.7","","--","--"
"1571430269-7823","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pierre Pilote","1960-61","CHI","D","70","6","29","35","29","169","0.50","3","11","0","0","2","0","68","8.8","","--","--"
"1571430269-8818","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Bartlett","1960-61","BOS","L","63","15","9","24","-19","95","0.38","1","1","0","0","0","0","133","11.3","","--","--"
"1571430269-10941","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Virgil Johnson","1943-44","CHI","D","49","1","8","9","","23","0.18","0","0","0","0","0","0","","--","","--","--"
"1571430269-11530","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Armstrong","1957-58","BOS","D","47","1","4","5","","66","0.11","0","0","0","0","0","0","","--","","--","--"
"1571430269-9496","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Dineen","1957-58","DET, CHI","R","63","6","13","19","","10","0.30","1","2","0","0","1","0","","--","","--","--"
"1571430269-11223","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy McNeill","1958-59","DET","R","54","2","5","7","","32","0.13","0","0","0","0","0","0","","--","","--","--"
"1571430269-12583","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Barrie Meissner","1968-69","MNS","L","5","0","1","1","0","2","0.20","0","0","0","0","0","0","1","0.0","","--","--"
"1571430269-12307","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hank Damore","1943-44","NYR","C","4","1","0","1","","2","0.25","0","0","0","0","0","0","","--","","--","--"
"1571430269-9546","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Quackenbush","1951-52","BOS","D","69","2","17","19","","6","0.28","0","3","0","0","0","0","","--","","--","--"
"1571430269-11025","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Glen Skov","1958-59","CHI","C","70","3","5","8","","4","0.11","0","1","1","2","0","0","","--","","--","--"
"1571430269-8850","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Leo Boivin","1963-64","BOS","D","65","10","14","24","1","42","0.37","1","4","1","1","0","0","140","7.1","","--","--"
"1571430269-12925","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Wayne Rivers","1961-62","DET","R","2","0","0","0","-1","0","--","0","0","0","0","0","0","1","0.0","","--","--"
"1571430269-12547","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Ward","1959-60","BOS","D","31","0","1","1","-1","18","0.03","0","0","0","0","0","0","11","0.0","","--","--"
"1571430269-7653","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pete Horeck","1944-45","CHI","L","50","20","16","36","","44","0.72","3","5","0","0","0","0","","--","","--","--"
"1571430269-6955","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Elmer Lach","1950-51","MTL","C","65","21","24","45","","48","0.69","4","11","1","1","3","0","","--","","--","--"
"1571430269-7348","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eric Nesterenko","1965-66","CHI","R","67","15","25","40","-1","58","0.60","1","5","0","1","2","0","102","14.7","","--","--"
"1571430269-13143","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Wilson","1949-50","DET","C","1","0","0","0","","2","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-13377","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Kenny Wharram","1955-56","CHI","R","3","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-11650","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mike Byers","1967-68","TOR","R","10","2","2","4","2","0","0.40","1","1","0","0","0","0","16","12.5","","--","--"
"1571430269-6928","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Green","1968-69","BOS","D","65","8","38","46","11","99","0.71","3","14","0","1","0","0","131","6.1","","--","--"
"1571430269-13043","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Dawes","1946-47","TOR","D","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-13263","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gerry Foley","1968-69","LAK","R","1","0","0","0","-1","0","--","0","0","0","0","0","0","4","0.0","","--","--"
"1571430269-5942","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bernie Geoffrion","1960-61","MTL","R","64","50","45","95","3","27","1.48","16","38","0","0","12","0","316","15.8","","--","--"
"1571430269-6747","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Kelly","1961-62","TOR","D","58","22","27","49","23","6","0.84","4","6","1","1","2","0","159","13.8","","--","--"
"1571430269-13455","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Phil Samis","1949-50","TOR","D","2","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-13488","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Les Douglas","1945-46","DET","C","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-7738","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mel Hill","1944-45","TOR","R","45","18","17","35","","14","0.78","0","2","0","0","4","0","","--","","--","--"
"1571430269-10084","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lou Fontinato","1961-62","MTL","D","54","2","13","15","55","167","0.28","0","0","0","1","0","0","63","3.2","","--","--"
"1571430269-11853","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Tom Brennan","1943-44","BOS","R","11","2","1","3","","2","0.27","0","0","0","0","0","0","","--","","--","--"
"1571430269-8165","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hank Ciesla","1955-56","CHI","C","70","8","23","31","","22","0.44","0","3","0","0","3","0","","--","","--","--"
"1571430269-12507","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim Mikol","1962-63","TOR","L","4","0","1","1","2","2","0.25","0","0","0","0","0","0","6","0.0","","--","--"
"1571430269-7369","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Sullivan","1960-61","NYR","C","70","9","31","40","-5","64","0.57","3","10","0","2","1","0","151","6.0","","--","--"
"1571430269-11805","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Mosdell","1945-46","MTL","C","13","2","1","3","","8","0.23","0","0","0","0","1","0","","--","","--","--"
"1571430269-12733","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ralph Backstrom","1957-58","MTL","C","2","0","1","1","","0","0.50","0","0","0","0","0","0","","--","","--","--"
"1571430269-12154","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Andrea","1965-66","NYR","R","4","1","1","2","-1","0","0.50","0","0","0","0","0","0","7","14.3","","--","--"
"1571430269-7221","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dickie Moore","1961-62","MTL","L","57","19","22","41","25","52","0.72","2","8","0","0","4","0","153","12.4","","--","--"
"1571430269-10680","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Peter Mahovlich","1967-68","DET","C","15","6","4","10","-6","13","0.67","0","0","0","0","0","0","35","17.1","","--","--"
"1571430269-8690","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Shack","1962-63","TOR","L","63","16","9","25","0","97","0.40","1","3","0","0","4","0","122","13.1","","--","--"
"1571430269-8438","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Nick Metz","1946-47","TOR","L","60","12","16","28","","15","0.47","2","3","1","1","4","0","","--","","--","--"
"1571430269-12023","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Leon Rochefort","1964-65","MTL","R","9","2","0","2","0","0","0.22","0","0","0","0","1","0","16","12.5","","--","--"
"1571430269-13336","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Murray Costello","1956-57","DET","C","3","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571430269-6172","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Toe Blake","1944-45","MTL","L","49","29","38","67","","35","1.37","5","11","0","0","6","0","","--","","--","--"
"1571430269-7600","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Carveth","1948-49","MTL","R","60","15","22","37","","8","0.62","5","15","1","1","3","0","","--","","--","--"
"1571430269-12376","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pete Goegan","1964-65","DET","D","4","1","0","1","2","2","0.25","0","0","0","0","0","0","4","25.0","","--","--"
"1571430269-7891","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jean Beliveau","1953-54","MTL","C","44","13","21","34","","22","0.77","3","15","0","0","1","0","","--","","--","--"
"1571430269-11739","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mike Walton","1965-66","TOR","C","6","1","3","4","1","0","0.67","0","3","0","0","0","0","11","9.1","","--","--"
"1571430269-10656","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Zeidel","1967-68","PHI","D","57","1","10","11","12","68","0.19","0","2","0","0","1","0","33","3.0","","--","--"
"1571430269-6726","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1945-46","MTL","R","50","27","22","49","","50","0.98","6","8","0","0","6","0","","--","","--","--"
"1571430269-8450","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Popein","1954-55","NYR","C","70","11","17","28","","27","0.40","0","4","0","0","0","0","","--","","--","--"
"1571430269-7733","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1959-60","MTL","R","51","19","16","35","18","50","0.69","6","11","0","0","1","0","166","11.4","","--","--"
"1571430269-6523","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Carveth","1943-44","DET","R","46","21","33","54","","6","1.17","0","0","0","0","1","0","","--","","--","--"
"1571430269-9309","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Brian Cullen","1956-57","TOR","C","45","8","12","20","","23","0.44","1","4","0","0","0","0","","--","","--","--"
"1571430269-8135","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bep Guidolin","1951-52","CHI","L","67","13","18","31","","78","0.46","1","2","0","0","1","0","","--","","--","--"
"1571430269-7482","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1948-49","MTL","R","59","20","18","38","","110","0.64","2","5","0","0","1","0","","--","","--","--"
"1571430269-8157","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Gadsby","1959-60","NYR","D","65","9","22","31","-31","60","0.48","6","14","0","1","0","0","111","8.1","","--","--"
"1571430269-8066","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Busher Jackson","1943-44","BOS","L","42","11","21","32","","25","0.76","0","1","0","0","1","0","","--","","--","--"
"1571430269-6068","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Hampson","1968-69","OAK","C","76","26","49","75","-13","6","0.99","9","23","0","0","3","0","189","13.8","","--","--"
"1571430269-13705","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Johnston","1967-68","LAK","D","4","0","0","0","-7","4","--","0","0","0","0","0","0","2","0.0","","--","--"
"1571430269-8348","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Pulford","1960-61","TOR","L","40","11","18","29","3","41","0.72","0","2","0","1","2","0","114","9.6","","--","--"
"1571430269-9879","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Reg Fleming","1961-62","CHI","D","70","7","9","16","5","71","0.23","0","0","0","0","1","0","76","9.2","","--","--"
