web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571428408-4397","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Les Douglas","1940-41","DET","C","18","1","2","3","","2","0.17","0","0","0","0","0","0","","--","","--","--"
"1571428408-5135","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Connie Tudin","1941-42","MTL","C","4","0","1","1","","4","0.25","0","1","0","0","0","0","","--","","--","--"
"1571428408-68","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Cook","1932-33","NYR","R","48","28","22","50","","51","1.04","","","","","5","1","","--","","--","--"
"1571428408-5858","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ron Moffat","1933-34","DET","L","5","0","0","0","","2","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-3265","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hooley Smith","1940-41","NYA","C","41","2","7","9","","4","0.22","0","0","0","0","0","0","","--","","--","--"
"1571428408-1444","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Carse","1939-40","CHI","C","48","10","12","22","","10","0.46","2","4","0","0","1","0","","--","","--","--"
"1571428408-3941","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Metz","1941-42","TOR","R","25","2","3","5","","8","0.20","0","1","0","0","1","0","","--","","--","--"
"1571428408-5500","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Boucher","1930-31","MMR","D","30","0","0","0","","25","--","","","","","0","0","","--","","--","--"
"1571428408-4335","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack MacKell","1919-20","SEN","R","23","2","1","3","","28","0.13","","","","","0","0","","--","","--","--"
"1571428408-4111","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Wilf Starr","1933-34","DET","C","28","2","2","4","","17","0.14","0","0","0","0","0","0","","--","","--","--"
"1571428408-5526","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bobby Lee","1942-43","MTL","C","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-5546","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gene Chouinard","1927-28","SEN","D","8","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-2615","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ivan Johnson","1931-32","NYR","D","47","3","10","13","","106","0.28","","","","","1","0","","--","","--","--"
"1571428408-277","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Cecil Dillon","1937-38","NYR","R","48","21","18","39","","6","0.81","3","6","0","0","3","1","","--","","--","--"
"1571428408-5130","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Kennedy","1942-43","TOR","C","2","0","1","1","","0","0.50","0","0","0","0","0","0","","--","","--","--"
"1571428408-1149","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Cully Dahlstrom","1940-41","CHI","C","42","11","14","25","","6","0.60","0","0","1","1","3","1","","--","","--","--"
"1571428408-2155","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Wares","1937-38","DET","R","21","9","7","16","","2","0.76","0","1","0","0","2","0","","--","","--","--"
"1571428408-5539","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Emil Hanson","1932-33","DET","R","7","0","0","0","","6","--","","","","","0","0","","--","","--","--"
"1571428408-222","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Haynes","1932-33","MMR","C","48","16","25","41","","18","0.85","","","","","2","1","","--","","--","--"
"1571428408-3975","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Alex Motter","1935-36","BOS","C","23","1","4","5","","4","0.22","0","2","0","0","0","0","","--","","--","--"
"1571428408-3643","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Boucher","1926-27","MTL, BOS","R","35","6","0","6","","28","0.17","","","","","2","0","","--","","--","--"
"1571428408-4674","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gord Kuhn","1932-33","NYA","R","9","1","1","2","","4","0.22","","","","","1","0","","--","","--","--"
"1571428408-3838","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Portland","1937-38","BOS","D","48","0","6","6","","26","0.13","0","1","0","2","0","0","","--","","--","--"
"1571428408-5601","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Carey","1923-24","TSP","R","4","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-5820","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Doran","1937-38","DET","D","7","0","0","0","","10","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-3370","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill MacKenzie","1936-37","MMR, MTL","D","48","4","4","8","","28","0.17","2","3","0","0","0","0","","--","","--","--"
"1571428408-1910","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ty Arbour","1929-30","CHI","L","42","10","8","18","","26","0.43","","","","","2","0","","--","","--","--"
"1571428408-3732","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mush March","1928-29","CHI","R","35","3","3","6","","8","0.17","","","","","0","0","","--","","--","--"
"1571428408-630","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Beattie","1935-36","BOS","L","48","14","18","32","","27","0.67","0","2","0","0","2","0","","--","","--","--"
"1571428408-1136","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","King Clancy","1932-33","TOR","D","48","13","12","25","","79","0.52","","","","","5","0","","--","","--","--"
"1571428408-2704","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mickey Roach","1924-25","HAM","C","30","6","6","12","","8","0.40","","","","","3","0","","--","","--","--"
