web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571428408-4761","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim O'Neil","1936-37","BOS","C","21","0","2","2","","6","0.10","0","1","0","0","0","0","","--","","--","--"
"1571428408-1648","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Danny Cox","1928-29","TOR","L","42","12","8","20","","14","0.48","","","","","2","0","","--","","--","--"
"1571428408-960","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Carse","1941-42","CHI","C","43","13","14","27","","16","0.63","1","2","0","0","2","0","","--","","--","--"
"1571428408-2318","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hooley Smith","1939-40","NYA","C","48","7","8","15","","51","0.31","0","0","0","0","0","0","","--","","--","--"
"1571428408-5109","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jim O'Neil","1941-42","MTL","C","4","0","1","1","","4","0.25","0","0","0","0","0","0","","--","","--","--"
"1571428408-4333","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Carpenter","1920-21","HAM","D","21","2","1","3","","17","0.14","","","","","0","0","","--","","--","--"
"1571428408-492","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Clint Smith","1941-42","NYR","C","47","10","25","35","","4","0.74","0","4","0","0","3","0","","--","","--","--"
"1571428408-5535","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dunc Munro","1928-29","MMR","D","1","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-3457","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Alex Levinsky","1936-37","CHI","D","48","0","8","8","","32","0.17","0","0","0","0","0","0","","--","","--","--"
"1571428408-2556","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joffre Desilets","1935-36","MTL","R","38","7","6","13","","0","0.34","1","1","0","0","1","0","","--","","--","--"
"1571428408-2902","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Earl Robinson","1937-38","MMR","R","39","4","7","11","","13","0.28","0","3","0","0","0","0","","--","","--","--"
"1571428408-1801","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Doraty","1933-34","TOR","R","34","9","10","19","","6","0.56","4","8","0","0","3","3","","--","","--","--"
"1571428408-80","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Lamb","1929-30","SEN","R","44","29","20","49","","119","1.11","","","","","5","1","","--","","--","--"
"1571428408-106","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Syd Howe","1934-35","SLE, DET","C","50","22","25","47","","34","0.94","4","10","1","1","1","0","","--","","--","--"
"1571428408-2953","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Crawford","1941-42","BOS","D","43","2","9","11","","37","0.26","1","1","0","0","0","1","","--","","--","--"
"1571428408-314","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dit Clapper","1934-35","BOS","R","48","22","16","38","","21","0.79","3","4","1","1","3","1","","--","","--","--"
"1571428408-167","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Baldy Northcott","1932-33","MMR","D","48","22","21","43","","30","0.90","","","","","6","2","","--","","--","--"
"1571428408-1486","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Thoms","1938-39","TOR, CHI","C","48","7","15","22","","20","0.46","2","3","0","0","2","0","","--","","--","--"
"1571428408-3914","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Len Grosvenor","1928-29","SEN","C","42","3","2","5","","18","0.12","","","","","0","1","","--","","--","--"
"1571428408-2870","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ken Randall","1920-21","TSP","R","22","6","5","11","","74","0.50","","","","","1","0","","--","","--","--"
"1571428408-4436","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lloyd Gronsdahl","1941-42","BOS","R","10","1","2","3","","0","0.30","0","0","0","0","0","0","","--","","--","--"
"1571428408-5156","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Al Shields","1927-28","SEN","D","8","0","1","1","","2","0.13","","","","","0","0","","--","","--","--"
"1571428408-3334","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Keating","1931-32","NYA","L","22","5","3","8","","8","0.36","","","","","1","0","","--","","--","--"
"1571428408-4363","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Harold Starr","1929-30","SEN","D","28","2","1","3","","12","0.11","","","","","1","0","","--","","--","--"
"1571428408-97","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Cook","1931-32","NYR","R","48","33","14","47","","33","0.98","","","","","5","0","","--","","--","--"
"1571428408-2581","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Nels Stewart","1939-40","NYA","C","35","6","7","13","","4","0.37","1","5","0","0","1","0","","--","","--","--"
"1571428408-4547","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gord Brydson","1929-30","TOR","C","8","2","0","2","","8","0.25","","","","","0","0","","--","","--","--"
"1571428408-3417","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Johnny Gottselig","1942-43","CHI","L","10","2","6","8","","22","0.80","0","0","0","0","0","0","","--","","--","--"
"1571428408-5901","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Walter Jackson","1935-36","BOS","L","2","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-4756","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ted Graham","1934-35","DET, SLE","D","37","0","2","2","","28","0.05","0","0","0","0","0","0","","--","","--","--"
"1571428408-3966","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Irwin Boyd","1934-35","DET","R","40","2","3","5","","14","0.13","1","1","0","0","0","0","","--","","--","--"
"1571428408-3411","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ivan Johnson","1930-31","NYR","D","44","2","6","8","","79","0.18","","","","","0","0","","--","","--","--"
"1571428408-3849","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Baldy Cotton","1926-27","PIR","L","37","5","0","5","","23","0.14","","","","","0","0","","--","","--","--"
"1571428408-5430","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Duggan","1925-26","SEN","L","27","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-4697","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gus Marker","1932-33","DET","R","13","1","1","2","","8","0.15","","","","","0","0","","--","","--","--"
"1571428408-3748","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ty Arbour","1930-31","CHI","L","41","3","3","6","","12","0.15","","","","","1","1","","--","","--","--"
"1571428408-968","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Woody Dumart","1937-38","BOS","L","48","13","14","27","","6","0.56","1","2","0","0","7","0","","--","","--","--"
"1571428408-1321","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Andy Blair","1933-34","TOR","C","47","14","9","23","","35","0.49","4","5","0","0","1","0","","--","","--","--"
"1571428408-648","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Carse","1942-43","CHI","L","46","10","22","32","","6","0.70","1","3","0","0","1","0","","--","","--","--"
"1571428408-3307","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Georges Mantha","1929-30","MTL","D","44","6","2","8","","16","0.18","","","","","0","0","","--","","--","--"
"1571428408-5396","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Cliff McBride","1929-30","TOR","R","1","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-1032","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Didier Pitre","1919-20","MTL","R","22","14","12","26","","6","1.18","","","","","3","0","","--","","--","--"
"1571428408-5582","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Burr Williams","1934-35","SLE, BOS","D","16","0","0","0","","12","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-4165","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Sylvio Mantha","1925-26","MTL","D","34","2","2","4","","68","0.12","","","","","0","0","","--","","--","--"
"1571428408-4459","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill MacKenzie","1937-38","MTL, CHI","D","46","1","2","3","","24","0.07","0","0","0","0","0","0","","--","","--","--"
"1571428408-2850","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Harry Meeking","1918-19","TAN","L","14","7","4","11","","32","0.79","","","","","0","0","","--","","--","--"
"1571428408-5245","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Martin Lauder","1927-28","BOS","D","3","0","0","0","","2","--","","","","","0","0","","--","","--","--"
"1571428408-2679","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","King Clancy","1925-26","SEN","D","35","8","4","12","","82","0.34","","","","","4","1","","--","","--","--"
"1571428408-4598","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Al Huggins","1930-31","MMR","L","20","1","1","2","","0","0.10","","","","","0","0","","--","","--","--"
"1571428408-3376","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Doug Young","1937-38","DET","D","48","3","5","8","","24","0.17","0","0","0","0","0","0","","--","","--","--"
"1571428408-1227","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Hay","1926-27","CHI","L","35","14","10","24","","12","0.69","","","","","2","0","","--","","--","--"
"1571428408-1233","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Syd Howe","1932-33","SEN","C","48","12","12","24","","17","0.50","","","","","2","0","","--","","--","--"
"1571428408-770","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Johnny Gagnon","1937-38","MTL","R","47","13","17","30","","9","0.64","4","9","0","0","1","1","","--","","--","--"
"1571428408-2101","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Babe Pratt","1939-40","NYR","D","48","4","13","17","","61","0.35","0","2","0","0","1","0","","--","","--","--"
"1571428408-2093","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ott Heller","1936-37","NYR","D","48","5","12","17","","42","0.35","1","3","1","2","2","1","","--","","--","--"
"1571428408-408","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Benoit","1941-42","MTL","R","46","20","16","36","","27","0.78","7","9","0","0","3","1","","--","","--","--"
"1571428408-893","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Neil Colville","1936-37","NYR","C","45","10","18","28","","33","0.62","2","9","0","0","2","0","","--","","--","--"
"1571428408-5715","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Walter Kalbfleish","1936-37","NYA, BOS","D","7","0","0","0","","4","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-4059","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Des Roche","1934-35","SLE, MTL, DET","R","27","3","1","4","","20","0.15","0","0","0","0","0","0","","--","","--","--"
"1571428408-5655","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Frank Steele","1930-31","DFL","R","1","0","0","0","","2","--","","","","","0","0","","--","","--","--"
"1571428408-2965","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pit Lepine","1925-26","MTL","C","27","9","1","10","","18","0.37","","","","","2","0","","--","","--","--"
"1571428408-1204","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Harry Oliver","1926-27","BOS","R","43","18","6","24","","17","0.56","","","","","4","1","","--","","--","--"
"1571428408-1396","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Goldie Prodgers","1921-22","HAM","C","24","15","7","22","","4","0.92","","","","","0","0","","--","","--","--"
"1571428408-4402","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bert Corbeau","1926-27","TSP","D","41","1","2","3","","88","0.07","","","","","0","0","","--","","--","--"
"1571428408-3571","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Walker","1926-27","DCG","L","41","3","4","7","","6","0.17","","","","","1","0","","--","","--","--"
"1571428408-2300","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bert Corbeau","1917-18","MTL","D","21","8","7","15","","44","0.71","","","","","0","0","","--","","--","--"
"1571428408-1982","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ott Heller","1942-43","NYR","D","45","4","14","18","","14","0.40","0","1","0","0","0","0","","--","","--","--"
"1571428408-838","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lynn Patrick","1938-39","NYR","C","35","8","21","29","","25","0.83","1","2","0","0","0","0","","--","","--","--"
"1571428408-4276","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie McCalmon","1930-31","QUA","R","16","3","0","3","","6","0.19","","","","","0","0","","--","","--","--"
"1571428408-5765","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Stan Jackson","1926-27","SEN","L","8","0","0","0","","2","--","","","","","0","0","","--","","--","--"
"1571428408-4488","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hib Milks","1932-33","SEN","L","16","0","3","3","","0","0.19","","","","","0","0","","--","","--","--"
"1571428408-4565","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mel Hill","1937-38","BOS","R","6","2","0","2","","2","0.33","0","0","0","0","0","0","","--","","--","--"
"1571428408-958","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Cooney Weiland","1931-32","BOS","C","46","14","13","27","","24","0.59","","","","","2","0","","--","","--","--"
"1571428408-5287","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bert McInenly","1935-36","BOS","L","3","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-1492","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bep Guidolin","1942-43","BOS","L","42","7","15","22","","53","0.52","1","3","0","0","0","0","","--","","--","--"
"1571428408-3809","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Muzz Patrick","1939-40","NYR","D","44","2","4","6","","44","0.14","0","0","0","0","0","0","","--","","--","--"
"1571428408-4673","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Armand Mondou","1936-37","MTL","L","7","1","1","2","","0","0.29","1","1","0","0","0","0","","--","","--","--"
"1571428408-5631","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Francis Cain","1925-26","MMR, TSP","D","33","0","0","0","","8","--","","","","","0","0","","--","","--","--"
"1571428408-1121","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Boucher","1922-23","SEN","D","24","15","10","25","","60","1.04","","","","","4","0","","--","","--","--"
"1571428408-3659","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Doran","1935-36","NYA","D","25","4","2","6","","44","0.24","0","0","0","0","0","1","","--","","--","--"
"1571428408-1362","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Baldy Northcott","1934-35","MMR","D","47","9","14","23","","44","0.49","1","3","0","1","1","0","","--","","--","--"
"1571428408-1134","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Boucher","1921-22","SEN","D","23","13","12","25","","12","1.09","","","","","2","0","","--","","--","--"
"1571428408-2763","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Horner","1934-35","TOR","D","46","4","8","12","","125","0.26","0","2","0","0","1","0","","--","","--","--"
"1571428408-2196","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Percy Galbraith","1929-30","BOS","L","44","7","9","16","","38","0.36","","","","","0","0","","--","","--","--"
"1571428408-2685","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Carpenter","1919-20","QBD","D","24","8","4","12","","24","0.50","","","","","0","0","","--","","--","--"
"1571428408-4620","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ralph Taylor","1927-28","CHI","D","25","1","1","2","","36","0.08","","","","","0","0","","--","","--","--"
"1571428408-3733","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mush March","1928-29","CHI","R","35","3","3","6","","8","0.17","","","","","0","0","","--","","--","--"
"1571428408-711","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pit Lepine","1934-35","MTL","C","48","12","19","31","","16","0.65","3","3","1","1","2","0","","--","","--","--"
"1571428408-589","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lorne Carr","1940-41","NYA","R","48","13","20","33","","10","0.69","2","9","2","2","1","2","","--","","--","--"
"1571428408-741","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Roy Conacher","1939-40","BOS","L","31","18","12","30","","9","0.97","0","0","0","0","4","0","","--","","--","--"
"1571428408-4447","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Len Grosvenor","1927-28","SEN","C","44","1","2","3","","18","0.07","","","","","1","0","","--","","--","--"
"1571428408-5924","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","null","null","","","","","","","","","","","","","","","","","","","",""
"1571428408-1089","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Davidson","1939-40","TOR","L","48","8","18","26","","56","0.54","0","0","1","2","2","0","","--","","--","--"
"1571428408-1377","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dit Clapper","1942-43","BOS","R","38","5","18","23","","12","0.61","2","4","0","0","1","0","","--","","--","--"
"1571428408-1679","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Phil Hergesheimer","1939-40","CHI","R","42","9","11","20","","6","0.48","2","3","0","0","2","0","","--","","--","--"
"1571428408-586","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mud Bruneteau","1941-42","DET","R","48","14","19","33","","8","0.69","1","1","0","1","2","0","","--","","--","--"
"1571428408-3483","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Orville Heximer","1934-35","NYA","L","17","5","2","7","","0","0.41","0","0","0","0","1","1","","--","","--","--"
"1571428408-4094","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Coutu","1923-24","MTL","D","16","3","1","4","","16","0.25","","","","","2","0","","--","","--","--"
"1571428408-632","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Herbie Lewis","1936-37","DET","L","45","14","18","32","","14","0.71","0","0","0","0","1","0","","--","","--","--"
"1571428408-5275","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lloyd Finkbeiner","1940-41","NYA","L","2","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-5632","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Francis Cain","1925-26","MMR, TSP","D","33","0","0","0","","8","--","","","","","0","0","","--","","--","--"
