web-scraper-order,web-scraper-start-url,team,season,games_played,wins,losses,ties,overtime,points,row,p_perc,goals_for,goals_against,shoot_out_wins,goalsf_per_gp,goalsa_per_gp,powerplay_perc,penalty_kill_perc,shots_per_gp,shots_against_per_gp,fow_perc
"1571322799-1592","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Arizona Coyotes","2019-20","5","2","2","0","1","5","2",".500","11","9","0","2.20","1.80","18.2","82.3","33.6","33.0","52.6"
"1571322799-367","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","2008-09","82","43","30","0","9","95","33",".579","200","212","10","2.44","2.59","13.9","87.8","32.4","29.7","50.8"
"1571322799-1033","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Pittsburgh Penguins","2001-02","82","28","41","8","5","69","0",".421","198","249","0","2.41","3.04","14.0","83.8","27.0","29.2","47.1"
"1571322799-270","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Carolina Hurricanes","2018-19","82","46","29","0","7","99","44",".604","243","221","2","2.96","2.70","17.8","81.6","34.4","28.6","49.0"
"1571322799-1011","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Nashville Predators","1999-00","82","28","40","7","7","70","0",".427","199","240","0","2.43","2.93","13.5","85.1","27.0","30.5","49.1"
"1571322799-1224","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1933-34","48","24","14","10","","58","0",".604","113","98","0","2.35","2.04","--","--","--","--","--"
"1571322799-472","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Edmonton Oilers","2002-03","82","36","26","11","9","92","0",".561","231","230","0","2.82","2.80","14.5","82.6","28.0","27.4","51.1"
"1571322799-1151","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","2012-13","48","28","14","0","6","62","24",".646","127","106","4","2.65","2.21","14.8","87.1","32.4","28.6","56.4"
"1571322799-518","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2011-12","82","37","29","0","16","90","34",".549","199","217","3","2.43","2.65","17.7","84.3","27.5","30.8","46.2"
"1571322799-1467","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Colorado Avalanche","2012-13","48","16","25","0","7","39","14",".406","114","150","2","2.38","3.13","15.0","80.3","29.5","31.4","51.1"
"1571322799-955","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Hartford Whalers","1979-80","80","27","34","19","","73","0",".456","303","312","0","3.79","3.90","19.5","74.5","27.4","29.6","--"
"1571322799-204","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","2011-12","82","48","28","0","6","102","39",".622","239","200","9","2.91","2.44","16.1","81.8","32.2","27.0","51.6"
"1571322799-891","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Washington Capitals","1996-97","82","33","40","9","","75","0",".457","214","231","0","2.61","2.82","15.8","84.7","28.9","26.4","0.0"
"1571322799-267","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Anaheim Ducks","2010-11","82","47","30","0","5","99","43",".604","235","233","4","2.87","2.84","23.5","81.3","28.5","32.3","47.7"
"1571322799-455","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2014-15","82","41","31","0","10","92","37",".561","257","257","4","3.13","3.13","19.0","80.7","31.2","29.9","51.7"
"1571322799-1283","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1985-86","80","23","49","8","","54","0",".338","284","389","0","3.55","4.86","17.5","71.9","30.3","32.6","--"
"1571322799-775","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Tampa Bay Lightning","2009-10","82","34","36","0","12","80","30",".488","213","253","4","2.60","3.09","19.3","80.0","28.9","31.4","51.5"
"1571322799-463","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Islanders","2006-07","82","40","30","0","12","92","32",".561","240","235","8","2.93","2.87","18.1","81.8","30.0","32.6","51.6"
"1571322799-63","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Pittsburgh Penguins","2016-17","82","50","21","0","11","111","46",".677","278","229","4","3.39","2.79","23.1","79.8","33.5","32.6","47.6"
"1571322799-403","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1966-67","70","41","17","12","","94","0",".671","264","170","0","3.77","2.43","--","--","31.5","31.3","--"
"1571322799-161","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Nashville Predators","2011-12","82","48","26","0","8","104","43",".634","232","205","5","2.83","2.50","21.6","83.6","27.6","30.8","49.0"
"1571322799-194","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","2003-04","82","45","24","10","3","103","0",".628","242","204","0","2.95","2.49","20.1","83.4","27.5","26.4","52.1"
"1571322799-876","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1971-72","78","33","35","10","","76","0",".487","261","262","0","3.35","3.36","--","--","31.0","30.3","--"
"1571322799-122","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Edmonton Oilers","1986-87","80","50","24","6","","106","0",".663","372","284","0","4.65","3.55","22.4","80.0","29.5","29.6","--"
"1571322799-1070","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Washington Capitals","1979-80","80","27","40","13","","67","0",".419","261","293","0","3.26","3.66","18.2","73.7","28.4","29.6","--"
"1571322799-1166","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Islanders","1988-89","80","28","47","5","","61","0",".381","265","325","0","3.31","4.06","22.5","73.6","30.4","30.8","0.0"
"1571322799-1426","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Americans","1938-39","48","17","21","10","","44","0",".458","119","157","0","2.48","3.27","--","--","--","--","--"
