web-scraper-order,web-scraper-start-url,team,season,games_played,wins,losses,ties,overtime,points,row,p_perc,goals_for,goals_against,shoot_out_wins,goalsf_per_gp,goalsa_per_gp,powerplay_perc,penalty_kill_perc,shots_per_gp,shots_against_per_gp,fow_perc
"1571322799-129","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2000-01","82","48","24","8","2","106","0",".646","241","187","0","2.94","2.28","19.6","86.2","25.6","24.9","51.2"
"1571322799-613","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","St. Louis Blues","1984-85","80","37","31","12","","86","0",".538","299","288","0","3.74","3.60","21.9","76.1","31.1","29.8","--"
"1571322799-614","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","St. Louis Blues","1984-85","80","37","31","12","","86","0",".538","299","288","0","3.74","3.60","21.9","76.1","31.1","29.8","--"
"1571322799-412","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1995-96","82","40","28","14","","94","0",".573","273","220","0","3.33","2.68","17.7","85.5","27.3","28.5","0.0"
"1571322799-1302","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Minnesota North Stars","1974-75","80","23","50","7","","53","0",".331","221","341","0","2.76","4.26","--","--","27.5","35.1","--"
"1571322799-1553","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto St. Patricks","1923-24","24","10","14","0","","20","0",".417","59","85","0","2.46","3.54","--","--","--","--","--"
"1571322799-389","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2016-17","82","45","33","0","4","94","41",".573","222","219","4","2.71","2.67","20.2","81.6","29.1","28.7","48.9"
"1571322799-701","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Florida Panthers","1993-94","84","33","34","17","","83","0",".494","233","233","0","2.77","2.77","15.9","82.6","27.3","33.4","0.0"
"1571322799-813","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Arizona Coyotes","2015-16","82","35","39","0","8","78","34",".476","208","244","1","2.54","2.98","17.7","77.3","27.6","31.0","54.7"
"1571322799-1272","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1957-58","70","24","39","7","","55","0",".393","163","202","0","2.33","2.89","--","--","27.2","30.3","--"
"1571322799-496","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","2006-07","82","42","34","0","6","90","36",".549","239","251","6","2.91","3.06","22.8","83.5","29.6","32.7","49.5"
"1571322799-260","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1978-79","80","43","23","14","","100","0",".625","316","270","0","3.95","3.38","23.6","74.6","28.1","24.8","--"
"1571322799-854","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Florida Panthers","2009-10","82","32","37","0","13","77","26",".470","202","234","6","2.46","2.85","14.2","79.4","28.4","34.1","49.9"
"1571322799-725","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1984-85","80","34","32","14","","82","0",".513","339","326","0","4.24","4.08","23.5","81.9","31.9","30.3","--"
"1571322799-562","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Buffalo Sabres","1972-73","78","37","27","14","","88","0",".564","257","219","0","3.29","2.81","--","--","31.9","29.1","--"
"1571322799-1073","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1940-41","48","27","8","13","","67","0",".698","168","102","0","3.50","2.13","--","--","--","--","--"
"1571322799-321","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2014-15","82","45","30","0","7","97","41",".591","237","213","4","2.89","2.60","18.8","80.6","27.5","29.2","47.4"
"1571322799-1083","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1993-94","84","27","45","12","","66","0",".393","294","322","0","3.50","3.83","20.7","80.5","33.0","36.3","0.0"
"1571322799-969","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Pittsburgh Penguins","1986-87","80","30","38","12","","72","0",".450","297","290","0","3.71","3.63","20.8","76.1","30.3","29.4","--"
"1571322799-1246","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets (1979)","1993-94","84","24","51","9","","57","0",".339","245","344","0","2.92","4.10","19.4","79.5","29.4","33.3","0.0"
"1571322799-665","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Islanders","1993-94","84","36","36","12","","84","0",".500","282","264","0","3.36","3.14","20.1","81.0","29.9","30.5","0.0"
"1571322799-478","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Quebec Nordiques","1984-85","80","41","30","9","","91","0",".569","323","275","0","4.04","3.44","20.9","78.2","30.4","27.6","--"
"1571322799-1532","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto St. Patricks","1921-22","24","13","10","1","","27","0",".563","98","97","0","4.08","4.04","--","--","--","--","--"
"1571322799-1388","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1929-30","44","21","18","5","","47","0",".534","117","111","0","2.66","2.52","--","--","--","--","--"
"1571322799-1044","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Edmonton Oilers","1995-96","82","30","44","8","","68","0",".415","240","304","0","2.93","3.71","15.9","80.8","30.0","30.4","0.0"
"1571322799-560","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2009-10","82","37","31","0","14","88","30",".537","230","244","7","2.80","2.98","18.6","77.4","30.8","31.2","48.1"
"1571322799-1445","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1931-32","48","15","21","12","","42","0",".438","122","117","0","2.54","2.44","--","--","--","--","--"
"1571322799-808","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Edmonton Oilers","2017-18","82","36","40","0","6","78","31",".476","229","262","5","2.79","3.20","14.8","76.7","33.4","32.1","48.7"
"1571322799-198","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","St. Louis Blues","2000-01","82","43","22","12","5","103","0",".628","249","195","0","3.04","2.38","18.7","85.3","30.4","23.6","51.9"
"1571322799-758","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","2001-02","82","36","38","4","4","80","0",".488","227","258","0","2.77","3.15","14.7","79.9","29.2","31.9","50.7"
"1571322799-1124","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Pittsburgh Penguins","1969-70","76","26","38","12","","64","0",".421","182","238","0","2.39","3.13","--","--","31.4","29.4","--"
"1571322799-1425","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1929-30","44","17","17","10","","44","0",".500","136","143","0","3.09","3.25","--","--","--","--","--"
"1571322799-914","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1953-54","70","32","28","10","","74","0",".529","177","181","0","2.53","2.59","--","--","--","--","--"
"1571322799-107","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2006-07","82","50","25","0","7","107","41",".652","217","193","9","2.65","2.35","18.5","84.4","28.0","25.4","50.1"
"1571322799-419","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Minnesota North Stars","1981-82","80","37","23","20","","94","0",".588","346","288","0","4.33","3.60","24.5","81.8","33.0","32.9","--"
"1571322799-505","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Islanders","1985-86","80","39","29","12","","90","0",".563","327","284","0","4.09","3.55","22.7","78.4","29.4","33.2","--"
"1571322799-858","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","1999-00","82","31","36","10","5","77","0",".470","211","256","0","2.57","3.12","17.9","79.7","30.1","29.0","49.2"
"1571322799-952","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","San Jose Sharks","2002-03","82","28","37","9","8","73","0",".445","214","239","0","2.61","2.91","18.1","81.0","28.1","29.2","50.3"
"1571322799-1333","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets (1979)","1979-80","80","20","49","11","","51","0",".319","214","314","0","2.67","3.92","18.8","77.1","28.3","31.7","--"
"1571322799-1566","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Hamilton Tigers","1920-21","24","6","18","0","","12","0",".250","92","132","0","3.83","5.50","--","--","--","--","--"
"1571322799-1361","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","2012-13","48","23","22","0","3","49","22",".510","132","139","1","2.75","2.90","21.6","85.9","29.0","28.6","48.5"
"1571322799-397","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","2013-14","82","42","30","0","10","94","39",".573","233","227","3","2.84","2.77","19.7","84.8","30.4","30.6","50.0"
"1571322799-50","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Dallas Stars","2005-06","82","53","23","0","6","112","41",".683","253","217","12","3.09","2.65","17.7","83.7","28.5","25.6","50.3"
"1571322799-251","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","1999-00","82","45","27","7","3","100","0",".610","246","222","0","3.00","2.71","17.8","82.4","26.4","29.1","50.8"
"1571322799-1062","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1937-38","48","30","11","7","","67","0",".698","142","89","0","2.96","1.85","--","--","--","--","--"
"1571322799-645","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1989-90","80","36","31","13","","85","0",".531","279","267","0","3.49","3.34","23.3","78.7","29.8","30.0","0.0"
"1571322799-1045","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Los Angeles Kings","1987-88","80","30","42","8","","68","0",".425","318","359","0","3.98","4.49","21.7","77.4","30.8","32.1","0.0"
"1571322799-1469","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1940-41","48","16","25","7","","39","0",".406","112","139","0","2.33","2.90","--","--","--","--","--"
"1571322799-418","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1996-97","82","38","26","18","","94","0",".573","253","197","0","3.09","2.40","17.9","86.7","33.2","25.3","0.0"
"1571322799-1420","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","1962-63","70","14","39","17","","45","0",".321","198","281","0","2.83","4.01","--","--","28.4","36.7","--"
"1571322799-798","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","2016-17","82","33","36","0","13","79","24",".482","198","244","9","2.41","2.98","15.1","80.8","28.5","30.6","51.9"
"1571322799-373","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","2007-08","82","42","29","0","11","95","39",".579","245","227","3","2.99","2.77","21.8","83.2","28.8","31.8","49.3"
"1571322799-417","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Florida Panthers","2011-12","82","38","26","0","18","94","32",".573","197","216","6","2.40","2.63","18.5","79.5","29.7","30.5","50.6"
"1571322799-1403","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Florida Panthers","1994-95","48","20","22","6","","46","0",".479","115","127","0","2.40","2.65","13.1","83.2","24.8","28.5","0.0"
"1571322799-1051","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Minnesota North Stars","1978-79","80","28","40","12","","68","0",".425","257","289","0","3.21","3.61","21.8","79.3","30.6","28.6","--"
"1571322799-30","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","2007-08","82","54","21","0","7","115","49",".701","252","179","5","3.07","2.18","20.7","84.0","34.4","23.5","53.3"
"1571322799-1537","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1923-24","24","13","11","0","","26","0",".542","59","48","0","2.46","2.00","--","--","--","--","--"
"1571322799-1276","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1970-71","78","22","45","11","","55","0",".353","209","308","0","2.68","3.95","--","--","31.6","32.2","--"
"1571322799-764","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","1993-94","84","35","39","10","","80","0",".476","294","314","0","3.50","3.74","20.8","80.7","28.7","31.7","0.0"
"1571322799-984","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","2006-07","82","31","42","0","9","71","25",".433","195","251","6","2.38","3.06","11.8","82.6","26.8","29.4","47.8"
"1571322799-1565","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Hamilton Tigers","1922-23","24","6","18","0","","12","0",".250","81","110","0","3.38","4.58","--","--","--","--","--"
"1571322799-1159","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Columbus Blue Jackets","2003-04","82","25","45","8","4","62","0",".378","177","238","0","2.16","2.90","14.5","85.2","27.8","32.0","47.8"
"1571322799-1196","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New Jersey Devils","1985-86","80","28","49","3","","59","0",".369","300","374","0","3.75","4.67","19.6","74.3","29.2","31.2","--"
"1571322799-1326","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets","2012-13","48","24","21","0","3","51","22",".531","126","141","2","2.63","2.94","13.8","79.7","28.9","29.7","48.9"
"1571322799-1003","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Detroit Red Wings","1957-58","70","29","29","12","","70","0",".500","176","207","0","2.51","2.96","--","--","30.6","31.0","--"
"1571322799-1285","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1931-32","48","23","17","8","","54","0",".563","134","112","0","2.79","2.33","--","--","--","--","--"
"1571322799-1295","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Atlanta Thrashers","2001-02","82","19","47","11","5","54","0",".329","187","288","0","2.28","3.51","12.1","81.8","24.2","35.5","46.3"
"1571322799-1520","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Ottawa Senators (1917)","1921-22","24","14","8","2","","30","0",".625","106","84","0","4.42","3.50","--","--","--","--","--"
"1571322799-534","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Phoenix Coyotes","2013-14","82","37","30","0","15","89","31",".543","210","224","6","2.56","2.73","19.9","79.0","30.5","31.0","52.0"
"1571322799-1558","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1927-28","44","7","34","3","","17","0",".193","68","134","0","1.55","3.05","--","--","--","--","--"
"1571322799-1601","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","","null","","","","","","","","","","","","","","","","","",""
"1571322799-1472","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1938-39","48","15","24","9","","39","0",".406","115","146","0","2.40","3.04","--","--","--","--","--"
"1571322799-304","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","1983-84","80","44","26","10","","98","0",".613","350","290","0","4.38","3.63","20.2","76.6","36.8","28.6","--"
"1571322799-1096","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Tampa Bay Lightning","2008-09","82","24","40","0","18","66","21",".402","207","269","3","2.52","3.28","17.8","78.0","28.5","32.9","50.1"
"1571322799-1199","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets (1979)","1985-86","80","26","47","7","","59","0",".369","295","372","0","3.69","4.65","20.2","74.9","31.8","29.9","--"
"1571322799-396","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Calgary Flames","2003-04","82","42","30","7","3","94","0",".573","200","176","0","2.44","2.15","15.1","84.7","27.4","25.5","50.7"
"1571322799-1332","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Chicago Blackhawks","1933-34","48","20","17","11","","51","0",".531","88","83","0","1.83","1.73","--","--","--","--","--"
"1571322799-539","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Colorado Avalanche","2011-12","82","41","35","0","6","88","32",".537","199","218","9","2.43","2.66","18.4","83.0","31.5","29.6","51.6"
"1571322799-24","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","San Jose Sharks","2008-09","82","53","18","0","11","117","47",".713","251","199","6","3.06","2.43","24.2","83.3","33.2","27.2","53.8"
"1571322799-631","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Philadelphia Flyers","1987-88","80","38","33","9","","85","0",".531","292","292","0","3.65","3.65","18.0","81.0","31.0","30.6","0.0"
"1571322799-206","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","2016-17","82","48","28","0","6","102","45",".622","253","216","3","3.09","2.63","20.2","79.8","29.7","30.1","48.4"
"1571322799-366","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Colorado Avalanche","2009-10","82","43","30","0","9","95","36",".579","237","228","7","2.89","2.78","18.1","80.2","27.9","32.1","47.7"
"1571322799-830","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New Jersey Devils","2014-15","82","32","36","0","14","78","27",".476","176","209","5","2.15","2.55","19.3","80.6","24.5","30.7","47.3"
"1571322799-597","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","San Jose Sharks","1999-00","82","35","30","10","7","87","0",".530","225","214","0","2.74","2.61","16.4","83.6","27.4","28.7","49.2"
"1571322799-965","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Toronto Maple Leafs","1946-47","60","31","19","10","","72","0",".600","209","172","0","3.48","2.87","--","--","--","--","--"
"1571322799-740","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Buffalo Sabres","2015-16","82","35","36","0","11","81","33",".494","199","215","2","2.43","2.62","18.9","82.6","29.5","30.6","49.4"
"1571322799-807","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Winnipeg Jets (1979)","1995-96","82","36","40","6","","78","0",".476","275","291","0","3.35","3.55","19.7","79.5","29.4","33.7","0.0"
"1571322799-504","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1967-68","74","39","23","12","","90","0",".608","226","183","0","3.05","2.47","--","--","33.3","28.7","--"
"1571322799-26","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Boston Bruins","2008-09","82","53","19","0","10","116","49",".707","270","190","4","3.29","2.32","23.6","82.3","30.3","30.8","51.0"
"1571322799-494","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Buffalo Sabres","1998-99","82","37","28","17","","91","0",".555","207","175","0","2.52","2.13","13.5","86.2","26.2","30.0","48.0"
"1571322799-559","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","New York Rangers","1974-75","80","37","29","14","","88","0",".550","319","276","0","3.99","3.45","--","--","33.9","27.9","--"
"1571322799-1329","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Buffalo Sabres","1994-95","48","22","19","7","","51","0",".531","130","119","0","2.71","2.48","18.6","85.5","26.6","30.4","0.0"
"1571322799-1355","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Ottawa Senators (1917)","1927-28","44","20","14","10","","50","0",".568","78","57","0","1.77","1.30","--","--","--","--","--"
"1571322799-983","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Tampa Bay Lightning","2007-08","82","31","42","0","9","71","29",".433","221","266","2","2.70","3.24","19.3","82.0","28.7","28.2","49.7"
"1571322799-4","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Montréal Canadiens","1977-78","80","59","10","11","","129","0",".806","359","183","0","4.49","2.29","31.9","81.0","32.8","25.9","--"
"1571322799-1134","http://www.nhl.com/stats/team?reportType=season&seasonFrom=19171918&seasonTo=20192020&gameType=2&filter=gamesPlayed,gte,1&sort=points,wins","Hartford Whalers","1993-94","84","27","48","9","","63","0",".375","227","288","0","2.70","3.43","14.9","78.8","27.6","30.8","0.0"
