web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1573423104-6679","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Thomson","1945-46","TOR","D","5","0","1","1","","4","0.20","0","0","0","0","0","0","","--","","--","--"
"1573423104-4102","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Orland Kurtenbach","1965-66","TOR","C","70","9","6","15","6","54","0.21","2","3","1","2","3","0","70","12.8","","--","--"
"1573423104-1959","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1957-58","MTL","R","28","15","19","34","","28","1.21","5","9","0","0","2","0","","--","","--","--"
"1573423104-1592","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Vic Hadfield","1964-65","NYR","L","70","18","20","38","-30","102","0.54","6","12","0","0","1","0","169","10.7","","--","--"
"1573423104-6411","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hank Damore","1943-44","NYR","C","4","1","0","1","","2","0.25","0","0","0","0","0","0","","--","","--","--"
"1573423104-1281","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Max Bentley","1951-52","TOR","C","69","24","17","41","","40","0.59","4","16","0","0","3","0","","--","","--","--"
"1573423104-6393","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Benny Woit","1953-54","DET","R","70","0","2","2","","38","0.03","0","0","0","0","0","0","","--","","--","--"
"1573423104-116","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Litzenberger","1958-59","CHI","C","70","33","44","77","","37","1.10","6","21","0","0","6","0","","--","","--","--"
"1573423104-5761","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ron Snell","1968-69","PIT","R","4","3","1","4","4","6","1.00","2","2","0","0","1","0","9","33.3","","--","--"
"1573423104-4115","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gord Hannigan","1955-56","TOR","C","48","8","7","15","","40","0.31","6","6","0","0","1","0","","--","","--","--"
"1573423104-5883","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Szura","1967-68","OAK","C","20","1","3","4","-5","10","0.20","0","0","0","0","0","0","18","5.5","","--","--"
"1573423104-2607","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Tony Leswick","1952-53","DET","L","70","15","12","27","","87","0.39","0","3","2","2","5","0","","--","","--","--"
"1573423104-619","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Buddy O'Connor","1943-44","MTL","C","44","12","42","54","","6","1.23","1","12","0","0","2","0","","--","","--","--"
"1573423104-7887","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Fred Glover","1949-50","DET","C","7","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-633","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1947-48","MTL","R","53","28","25","53","","91","1.00","2","6","2","3","3","0","","--","","--","--"
"1573423104-5359","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Clare Martin","1949-50","DET","D","64","2","5","7","","14","0.11","0","0","0","0","1","0","","--","","--","--"
"1573423104-5348","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bob Plager","1967-68","STL","D","53","2","5","7","-10","84","0.13","0","1","0","0","0","0","54","3.7","","--","--"
"1573423104-2542","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dick Duff","1964-65","NYR, MTL","L","69","12","16","28","-13","36","0.41","1","3","0","0","3","0","113","10.6","","--","--"
"1573423104-5774","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Phil Maloney","1958-59","CHI","C","24","2","2","4","","4","0.17","0","0","0","0","1","0","","--","","--","--"
"1573423104-4614","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gary Doak","1967-68","BOS","D","59","2","10","12","12","100","0.20","0","1","0","1","1","0","53","3.8","","--","--"
"1573423104-5729","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Rags Raglan","1951-52","CHI","D","35","0","5","5","","28","0.14","0","2","0","0","0","0","","--","","--","--"
"1573423104-4826","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Hal Laycoe","1955-56","BOS","D","65","5","5","10","","16","0.15","0","1","1","2","2","0","","--","","--","--"
"1573423104-4626","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Doug Robinson","1968-69","LAK","L","31","2","10","12","-4","4","0.39","0","1","0","0","0","0","43","4.7","","--","--"
"1573423104-462","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Norm Ullman","1959-60","DET","C","70","24","34","58","-19","46","0.83","3","10","1","1","2","0","226","10.6","","--","--"
"1573423104-4533","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Mel Hill","1945-46","TOR","R","35","5","7","12","","10","0.34","0","0","0","0","0","0","","--","","--","--"
"1573423104-2587","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bill Gadsby","1962-63","DET","D","70","4","24","28","-12","116","0.40","0","7","1","1","0","0","134","3.0","","--","--"
"1573423104-1287","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Bernie Geoffrion","1962-63","MTL","R","51","23","18","41","5","71","0.80","7","14","0","0","4","0","172","13.4","","--","--"
"1573423104-3086","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Len Lunde","1959-60","DET","C","66","6","17","23","-5","8","0.35","2","6","0","0","1","0","140","4.3","","--","--"
"1573423104-5385","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Moose Vasko","1967-68","MNS","D","70","1","6","7","-36","45","0.10","0","0","0","0","0","0","24","4.2","","--","--"
"1573423104-4704","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Val Fonteyne","1959-60","DET","L","69","4","7","11","-11","2","0.16","1","1","0","0","1","0","88","4.5","","--","--"
"1573423104-1209","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Dennis Hull","1966-67","CHI","L","70","25","17","42","7","33","0.60","1","4","0","1","5","0","172","14.5","","--","--"
"1573423104-6403","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Moe Morris","1944-45","TOR","D","29","0","2","2","","18","0.07","0","1","0","0","0","0","","--","","--","--"
"1573423104-4383","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ed Harrison","1947-48","BOS","C","52","6","7","13","","6","0.25","0","0","0","0","1","0","","--","","--","--"
"1573423104-4747","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Evans","1955-56","NYR","D","70","2","9","11","","99","0.16","0","0","1","1","0","0","","--","","--","--"
"1573423104-1001","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Paul Ronty","1953-54","NYR","C","70","13","33","46","","18","0.66","3","15","1","1","1","0","","--","","--","--"
